;;;
;CR-02;;г. Чернигов. Новозаводской г-н
;CR-03;16500 - 16575;Черниговская область, Бахмачский р-н
;CR-04;17400 - 17462;Черниговская область, Бобровицкий р-н
;CR-05;16400 - 16465;Черниговская область, Борзнянский р-н
;CR-06;17600 - 17642;Черниговская область, Варвинский р-н
;CR-07;15100 - 15172;Черниговская область, Городнянский р-н
;CR-08;16700 - 16763;Черниговская область, Ичнянский р-н
;CR-09;17000 - 17085;Черниговская область, Козелецкий р-н
;CR-10;16200 - 16262;Черниговская область, Коропский р-н
;CR-11;15300 - 15362;Черниговская область, Корюковский р-н
;CR-12;16300 - 16352;Черниговская область, Куликовский р-н
;CR-13;15600 - 15676;Черниговская область, Менский р-н
;CR-14;16600 - 16617;Черниговская область, г. Нежин
;CR-15;16618 - 16675;Черниговская область, Нежинский р-н
;CR-16;16000 - 16082;Черниговская область, Новгород-Северский р-н
;CR-17;17100 - 17153;Черниговская область, Носовский р-н
;CR-18;17500 - 17515;Черниговская область, г. Прилуки
;CR-19;17516 - 17594;Черниговская область, Прилукский р-н
;CR-20;15000 - 15075;Черниговская область, Репкинский р-н
;CR-21;15400 - 15472;Черниговская область, Семеновский р-н
;CR-22;16100 - 16155;Черниговская область, Сосницкий р-н
;CR-23;17300 - 17351;Черниговская область, Сребновский р-н
;CR-24;17200 - 17271;Черниговская область, Талалаевский р-н
;CR-25;15500 - 15576;Черниговская область, Черниговский р-н
;CR-26;15200 - 15261;Черниговская область, Щорский р-н
;CR-27;07100 - 07199;Черниговская область, г. Славутич 
;;;ДНЕПРОПЕТРОВСКАЯ ОБЛАСТЬ - UR5E
;DN-01;49000 - 49499;г. Днепропетровск. Амур-Нижнеднепровский р-н
;DN-02;;г. Днепропетровск. Бабушкинский р-н
;DN-03;;г. Днепропетровск. Жовтневый р-н
;DN-04;;г. Днепропетровск. Индустриальный р-н
;DN-05;;г. Днепропетровск. Кировский р-н
;DN-06;;г. Днепропетровск. Красногвардейский р-н
;DN-07;;г. Днепропетровск. Ленинский р-н
;DN-08;;г. Днепропетровск. Самарский р-н
;DN-09;53800 - 53860;Днепропетровская область, Апостоловский р-н
;DN-10;52600 - 52665;Днепропетровская область, Васильковский р-н
;DN-11;51600 - 51675;Днепропетровская область, Верхнеднепровский р-н
;DN-12;51700 - 51799;Днепропетровская область, г. Вольногорск
;DN-13;51900 - 51999;г. Днепродзержинск. Баглейский р-н
;DN-14;52000 - 52099;Днепропетровская область, Днепропетровский р-н
;DN-15;52200 - 52299;Днепропетровская область, г. Желтые Воды
;DN-16;50400 - 50479;г. Кривой Рог. Дзержинский р-н
;DN-17;53000 - 53099;Днепропетровская область, Криворожский р-н
;DN-18;52300 - 52399;Днепропетровская область, Криничанский р-н
;DN-19;51100 - 51170 ;Днепропетровская область, Магдалиновский р-н
;DN-20;53400 - 53499 ;Днепропетровская область, г. Марганец
;DN-21;52900 - 52960 ;Днепропетровская область, Межевской р-н
;DN-22;53200 - 53239 ;Днепропетровская область, г. Никополь
;DN-23;53240 - 53290;Днепропетровская область, Никопольский р-н
;DN-24;51200 - 51214 ;Днепропетровская область, г. Новомосковск
;DN-25;51215 - 51290 ;Днепропетровская область, Новомосковский р-н
;DN-26;53300 - 53399 ;Днепропетровская область, г. Орджоникидзе
;DN-27;51400 - 51429 ;Днепропетровская область, г. Павловград
;DN-28;51430 - 51499 ;Днепропетровская область, Павлоградский р-н
;DN-29;52800 - 52899 ;Днепропетровская область, г. Першотравенск
